run_id,seed,iteration,best_fitness,window_size,window_std,trigger_candidate,diagnostics_invoked,diagnosis_status,diagnosis_pred_delta,diagnosis_fidelity,rescue_applied,cooldown_counter
5,5,1,11210.43627737607,1,nan,False,False,NONE,nan,nan,False,0
5,5,2,8506.534589632916,2,1351.9508438715766,False,False,NONE,nan,nan,False,0
5,5,3,6884.880049357285,3,1784.2298203591292,False,False,NONE,nan,nan,False,0
5,5,4,6887.061602291631,4,1767.1578622853654,False,False,NONE,nan,nan,False,0
5,5,5,6600.363846970635,5,1732.22343073732,False,False,NONE,nan,nan,False,0
5,5,6,6373.1464545382705,6,1695.9369412212297,False,False,NONE,nan,nan,False,0
5,5,7,6378.002037362817,7,1641.25314697573,False,False,NONE,nan,nan,False,0
5,5,8,6138.300225401749,8,1604.5400353251846,False,False,NONE,nan,nan,False,0
5,5,9,6147.026757986517,9,1561.0168456395836,False,False,NONE,nan,nan,False,0
5,5,10,6053.952152422112,10,1522.7898712546926,False,False,NONE,nan,nan,False,0
5,5,11,6054.833162698046,11,1483.742189181378,False,False,NONE,nan,nan,False,0
5,5,12,5833.35929739935,12,1458.0251921688869,False,False,NONE,nan,nan,False,0
5,5,13,5828.3559390668715,13,1430.8351015266076,False,False,NONE,nan,nan,False,0
5,5,14,5738.0251367985,14,1407.5975527304547,False,False,NONE,nan,nan,False,0
5,5,15,5733.989643067714,15,1383.7236462068183,False,False,NONE,nan,nan,False,0
5,5,16,5413.193929173731,16,1375.0369975617189,False,False,NONE,nan,nan,False,0
5,5,17,5386.944877321913,17,1364.7363344533162,False,False,NONE,nan,nan,False,0
5,5,18,5381.882571085609,18,1352.5248171264006,False,False,NONE,nan,nan,False,0
5,5,19,4815.70642931521,19,1367.599091835478,False,False,NONE,nan,nan,False,0
5,5,20,4741.225117949658,20,1380.4257238892662,False,False,NONE,nan,nan,False,0
5,5,21,4527.056135228725,20,865.4689439141773,False,False,NONE,nan,nan,False,0
5,5,22,4523.9420635550405,20,701.9347551588814,False,False,NONE,nan,nan,False,0
5,5,23,4521.423185595381,20,703.5867672713194,False,False,NONE,nan,nan,False,0
5,5,24,4521.559766341732,20,684.9220452122045,False,False,NONE,nan,nan,False,0
5,5,25,4568.739281565634,20,669.9681148980509,False,False,NONE,nan,nan,False,0
5,5,26,4416.857873042041,20,668.5246525700265,False,False,NONE,nan,nan,False,0
5,5,27,3880.0966906551325,20,695.0362165087807,False,False,NONE,nan,nan,False,0
5,5,28,3876.2812095590525,20,718.6349026074898,False,False,NONE,nan,nan,False,0
5,5,29,3871.5920647111893,20,723.687586031277,False,False,NONE,nan,nan,False,0
5,5,30,3860.6330253813303,20,719.4815969526018,False,False,NONE,nan,nan,False,0
5,5,31,3818.355888180359,20,700.9462196744254,False,False,NONE,nan,nan,False,0
5,5,32,3821.7259784673906,20,684.264185196544,False,False,NONE,nan,nan,False,0
5,5,33,3817.584837572619,20,652.5475386783147,False,False,NONE,nan,nan,False,0
5,5,34,3818.2108588379256,20,612.4400909539883,False,False,NONE,nan,nan,False,0
5,5,35,3818.250197876403,20,553.595612417264,False,False,NONE,nan,nan,False,0
5,5,36,3813.3960754111486,20,511.0357438392456,False,False,NONE,nan,nan,False,0
5,5,37,3814.000017817031,20,454.0352999182168,False,False,NONE,nan,nan,False,0
5,5,38,3782.4474576346524,20,374.7736200219437,False,False,NONE,nan,nan,False,0
5,5,39,3784.9808768453263,20,346.9746556552379,False,False,NONE,nan,nan,False,0
5,5,40,3714.9098706854593,20,320.2394237724638,False,False,NONE,nan,nan,False,0
5,5,41,3702.572089749839,20,306.179385962089,False,False,NONE,nan,nan,False,0
5,5,42,3703.871025093924,20,285.8116211992471,False,False,NONE,nan,nan,False,0
5,5,43,3701.793501184353,20,257.8094982479404,False,False,NONE,nan,nan,False,0
5,5,44,3697.7875034642393,20,218.95469308736855,False,False,NONE,nan,nan,False,0
5,5,45,3701.5098499106475,20,150.2196358767203,False,False,NONE,nan,nan,False,0
5,5,46,3707.511225696051,20,64.71873317438347,False,False,NONE,nan,nan,False,0
5,5,47,3724.159843131518,20,62.18107829403592,False,False,NONE,nan,nan,False,0
5,5,48,3692.814135799045,20,60.45227724833745,False,False,NONE,nan,nan,False,0
5,5,49,3688.1136518280573,20,57.967916289838186,False,False,NONE,nan,nan,False,0
5,5,50,3689.7161364618096,20,54.90675638756592,False,False,NONE,nan,nan,False,0
5,5,51,3694.4489711474635,20,53.90300090693697,False,False,NONE,nan,nan,False,0
5,5,52,3696.719524095968,20,51.79093200665404,False,False,NONE,nan,nan,False,0
5,5,53,3680.915183699224,20,49.851069320685056,False,False,NONE,nan,nan,False,0
5,5,54,3483.184587049673,20,70.06051182281227,False,False,NONE,nan,nan,False,0
5,5,55,3214.492561291195,20,126.36731111046352,False,False,NONE,nan,nan,False,0
5,5,56,3153.2905899326734,20,167.79644300824341,False,False,NONE,nan,nan,False,0
5,5,57,3147.1368489745123,20,196.06156672771354,False,False,NONE,nan,nan,False,0
5,5,58,3137.00049096606,20,218.22506187762502,False,False,NONE,nan,nan,False,0
5,5,59,3136.094328174134,20,233.88173095864076,False,False,NONE,nan,nan,False,0
5,5,60,3116.6879129165154,20,249.07371622766902,False,False,NONE,nan,nan,False,0
5,5,61,3118.5454103156085,20,260.3469661615563,False,False,NONE,nan,nan,False,0
5,5,62,3094.2114672218554,20,269.55192761818796,False,False,NONE,nan,nan,False,0
5,5,63,3095.6444519698653,20,275.1090426287861,False,False,NONE,nan,nan,False,0
5,5,64,3110.169396752013,20,276.6883489310933,False,False,NONE,nan,nan,False,0
5,5,65,3110.847473290901,20,274.886415076959,False,False,NONE,nan,nan,False,0
5,5,66,3114.0501399378477,20,269.32135183788733,False,False,NONE,nan,nan,False,0
5,5,67,3104.5846316233637,20,259.36602021335386,False,False,NONE,nan,nan,False,0
5,5,68,3090.4150956390286,20,248.36266151065016,False,False,NONE,nan,nan,False,0
5,5,69,3090.5506686088747,20,233.42214948599366,False,False,NONE,nan,nan,False,0
5,5,70,3046.4837682129873,20,214.7279436509017,False,False,NONE,nan,nan,False,0
5,5,71,3047.282899002143,20,188.1815207296013,False,False,NONE,nan,nan,False,0
5,5,72,3048.9055179083844,20,149.9413320678459,False,False,NONE,nan,nan,False,0
5,5,73,3046.8901355749995,20,91.43768916077632,False,False,NONE,nan,nan,False,0
5,5,74,3047.035779194931,20,42.29070205004468,False,False,NONE,nan,nan,False,0
5,5,75,3048.335772063188,20,35.439186559778136,False,False,NONE,nan,nan,False,0
5,5,76,3043.0025892770886,20,34.54156555694822,False,False,NONE,nan,nan,False,0
5,5,77,3037.651974422852,20,33.66874105566501,False,False,NONE,nan,nan,False,0
5,5,78,3032.2254730525915,20,33.196639198736676,False,False,NONE,nan,nan,False,0
5,5,79,3031.5522289588644,20,32.00108369425298,False,False,NONE,nan,nan,False,0
5,5,80,3075.3063639513116,20,30.45884487716708,False,False,NONE,nan,nan,False,0
5,5,81,3085.485068823484,20,28.718191264236854,False,False,NONE,nan,nan,False,0
5,5,82,3058.3511285921913,20,28.26849436039495,False,False,NONE,nan,nan,False,0
5,5,83,3106.735708399639,20,28.902381306027763,False,False,NONE,nan,nan,False,0
5,5,84,3103.0072693483794,20,28.42797866301405,False,False,NONE,nan,nan,False,0
