dataset,function,dimension,n_runs,best,worst,mean,std
PSO,1.instancia_simple,6,30,89.0,92.0,89.6,1.2205143065174586
PSO,2.instancia_mediana,12,30,155.0,162.0,157.8,2.0409598823542097
PSO,3.instancia_dura,24,30,298.0,307.0,302.6,2.5407031337393793
SHOA,1.instancia_simple,6,30,89.0,89.0,89.0,0.0
SHOA,2.instancia_mediana,12,30,152.0,161.0,157.53333333333333,2.445732854463524
SHOA,3.instancia_dura,24,30,301.0,316.0,310.46666666666664,2.909358660614389
SHOLIME,1.instancia_simple,6,30,89.0,89.0,89.0,0.0
SHOLIME,2.instancia_mediana,12,30,152.0,164.0,157.93333333333334,3.016430104397025
SHOLIME,3.instancia_dura,24,30,297.0,317.0,311.06666666666666,4.084734687989462
