group,max_fes_budget,algorithm,average_rank,instances_count
all,1500,SHOA,1.6666666666666667,3
all,1500,SHOA-COMBINED,1.3333333333333333,3
all,2000,SHOA,1.0,1
all,2000,SHOA-COMBINED,2.0,1
