algorithm,instance_name,scale,max_fes_budget,runs_completed,best,mean,std,median,worst,feasibility_rate,mean_base_cost,mean_pm_std
SHOA,M01.json,M,2000,2,10799.089312466102,15186.335392774183,6204.50290823989,15186.335392774183,19573.581473082264,0.0,807.0337305276405,1.518634e+04 +/- 6.204503e+03
SHOA,S01.json,S,1500,2,10245.267273980806,10245.497510744532,0.3256039538191604,10245.497510744532,10245.72774750826,0.0,245.49751074453246,1.024550e+04 +/- 3.256040e-01
SHOA,S02.json,S,1500,2,10271.039186026443,15274.93826163377,7076.581937470075,15274.93826163377,20278.837337241097,0.0,274.93826163377065,1.527494e+04 +/- 7.076582e+03
SHOA,S03.json,S,1500,2,10244.025388474303,10252.40324266874,11.848075025357879,10252.40324266874,10260.781096863178,0.0,252.40324266874046,1.025240e+04 +/- 1.184808e+01
SHOA-COMBINED,M01.json,M,2000,2,19551.492096493435,29551.527253969067,14142.185343909807,29551.527253969067,39551.5624114447,0.0,792.9239294759855,2.955153e+04 +/- 1.414219e+04
SHOA-COMBINED,S01.json,S,1500,2,10234.864364678682,10238.006223819159,4.443259807527458,10238.006223819159,10241.148082959635,0.0,238.0062238191585,1.023801e+04 +/- 4.443260e+00
SHOA-COMBINED,S02.json,S,1500,2,10271.039186026443,10271.039186026443,0.0,10271.039186026443,10271.039186026443,0.0,271.0391860264434,1.027104e+04 +/- 0.000000e+00
SHOA-COMBINED,S03.json,S,1500,2,10248.669986718944,17002.76276474108,9551.72960820508,17002.76276474108,23756.855542763216,0.0,255.47474626244272,1.700276e+04 +/- 9.551730e+03
