instance_name,scale,SHOA,SHOA_feasibility_rate,SHOA-COMBINED,SHOA-COMBINED_feasibility_rate
S01.json,S,1.024550e+04 +/- 3.256040e-01,0.000,1.023801e+04 +/- 4.443260e+00,0.000
S02.json,S,1.527494e+04 +/- 7.076582e+03,0.000,1.027104e+04 +/- 0.000000e+00,0.000
S03.json,S,1.025240e+04 +/- 1.184808e+01,0.000,1.700276e+04 +/- 9.551730e+03,0.000
M01.json,M,1.518634e+04 +/- 6.204503e+03,0.000,2.955153e+04 +/- 1.414219e+04,0.000
