instance_name,scale,max_fes_budget,SHOA_mean,SHOA-COMBINED_mean,SHOA_rank,SHOA-COMBINED_rank
M01.json,M,2000,15186.335392774183,29551.527253969067,1.0,2.0
S01.json,S,1500,10245.497510744532,10238.006223819159,2.0,1.0
S02.json,S,1500,15274.93826163377,10271.039186026443,2.0,1.0
S03.json,S,1500,10252.40324266874,17002.76276474108,1.0,2.0
