algorithm,instance_name,scale,max_fes_budget,runs_completed,best,mean,std,median,worst,feasibility_rate,mean_base_cost,mean_pm_std
SHOA,M01.json,M,2000,2,52436.52352087971,60995.6378503068,12104.415566577685,60995.6378503068,69554.75217973388,0.0,803.8430041178018,6.099564e+04 +/- 1.210442e+04
SHOA,S01.json,S,1500,2,10242.374268948613,10247.372738154305,7.0689029417931,10247.372738154305,10252.371207359996,0.0,247.37273815430416,1.024737e+04 +/- 7.068903e+00
SHOA,S02.json,S,1500,2,10272.852651905194,15282.168805808193,7084.24284306425,15282.168805808193,20291.48495971119,0.0,282.1688058081918,1.528217e+04 +/- 7.084243e+03
SHOA-COMBINED,M01.json,M,2000,2,25818.641098741376,40372.84667160225,20582.754910705928,40372.84667160225,54927.05224446312,0.0,801.7501631667151,4.037285e+04 +/- 2.058275e+04
SHOA-COMBINED,S01.json,S,1500,2,227.61191605957575,5229.320400977828,7073.483974407978,5229.320400977828,10231.028885896081,0.5,229.3204009778289,5.229320e+03 +/- 7.073484e+03
SHOA-COMBINED,S02.json,S,1500,2,10271.039186026443,10271.039186026443,0.0,10271.039186026443,10271.039186026443,0.0,271.0391860264434,1.027104e+04 +/- 0.000000e+00
