algorithm,instance_name,max_fes_budget,run_dir,return_code,log_file,plots_dir
SHOA-COMBINED,S01.json,1500,/Users/maximilianoaguirre/Desktop/SHOA-Thesis/Final-Implementation/experiments/mlpap_smoke2/raw/SHOA-COMBINED/S01_fes1500/run-2026-06-14-02-48-39,0,/Users/maximilianoaguirre/Desktop/SHOA-Thesis/Final-Implementation/experiments/mlpap_smoke2/logs/plot_SHOA-COMBINED_S01_fes1500.log,/Users/maximilianoaguirre/Desktop/SHOA-Thesis/Final-Implementation/experiments/mlpap_smoke2/raw/SHOA-COMBINED/S01_fes1500/run-2026-06-14-02-48-39/plots
SHOA-COMBINED,S02.json,1500,/Users/maximilianoaguirre/Desktop/SHOA-Thesis/Final-Implementation/experiments/mlpap_smoke2/raw/SHOA-COMBINED/S02_fes1500/run-2026-06-14-02-48-42,0,/Users/maximilianoaguirre/Desktop/SHOA-Thesis/Final-Implementation/experiments/mlpap_smoke2/logs/plot_SHOA-COMBINED_S02_fes1500.log,/Users/maximilianoaguirre/Desktop/SHOA-Thesis/Final-Implementation/experiments/mlpap_smoke2/raw/SHOA-COMBINED/S02_fes1500/run-2026-06-14-02-48-42/plots
SHOA-COMBINED,M01.json,2000,/Users/maximilianoaguirre/Desktop/SHOA-Thesis/Final-Implementation/experiments/mlpap_smoke2/raw/SHOA-COMBINED/M01_fes2000/run-2026-06-14-02-48-46,0,/Users/maximilianoaguirre/Desktop/SHOA-Thesis/Final-Implementation/experiments/mlpap_smoke2/logs/plot_SHOA-COMBINED_M01_fes2000.log,/Users/maximilianoaguirre/Desktop/SHOA-Thesis/Final-Implementation/experiments/mlpap_smoke2/raw/SHOA-COMBINED/M01_fes2000/run-2026-06-14-02-48-46/plots
