algorithm,instance_name,scale,max_fes_budget,runs_completed,best,mean,std,median,worst,feasibility_rate,mean_base_cost,mean_pm_std
PSO,S01.json,S,1500,2,10230.17737288566,10230.47932499068,0.42702476210647927,10230.47932499068,10230.7812770957,0.0,230.47932499068,1.023048e+04 +/- 4.270248e-01
PSO,S02.json,S,1500,2,10248.904902940534,10261.18760471091,17.370363426249412,10261.18760471091,10273.470306481286,0.0,261.18760471090985,1.026119e+04 +/- 1.737036e+01
SHOA,S01.json,S,1500,2,10245.267273980806,10246.138838343208,1.232578141789743,10246.138838343208,10247.01040270561,0.0,246.1388383432074,1.024614e+04 +/- 1.232578e+00
SHOA,S02.json,S,1500,2,10271.039186026443,10271.94591896582,1.2823140203154166,10271.94591896582,10272.852651905194,0.0,271.9459189658185,1.027195e+04 +/- 1.282314e+00
SHOA-COMBINED,S01.json,S,1500,2,10245.76558743708,10249.970361432992,5.94644841173195,10249.970361432992,10254.175135428903,0.0,249.97036143299104,1.024997e+04 +/- 5.946448e+00
SHOA-COMBINED,S02.json,S,1500,2,10269.291931221149,10270.165558623796,1.2354957212840114,10270.165558623796,10271.039186026443,0.0,270.1655586237961,1.027017e+04 +/- 1.235496e+00
