run_id,timestamp,function_name,function_id,dimension,run_number,iteration,best_fitness_so_far,fe_estimate
run-2026-05-23-05-04-34,2026-05-23T05:04:34Z,F12022,1,10,1,1,31074.612249090475,13
run-2026-05-23-05-04-34,2026-05-23T05:04:34Z,F12022,1,10,1,2,22094.207387907256,26
run-2026-05-23-05-04-34,2026-05-23T05:04:34Z,F12022,1,10,1,3,22094.207387907256,40
run-2026-05-23-05-04-34,2026-05-23T05:04:34Z,F12022,1,10,1,4,18235.547613699666,53
run-2026-05-23-05-04-34,2026-05-23T05:04:34Z,F12022,1,10,1,5,18235.547613699666,66
run-2026-05-23-05-04-34,2026-05-23T05:04:34Z,F12022,1,10,1,6,15076.370762176964,79
run-2026-05-23-05-04-34,2026-05-23T05:04:34Z,F12022,1,10,1,7,13588.125479529892,92
run-2026-05-23-05-04-34,2026-05-23T05:04:34Z,F12022,1,10,1,8,4986.447629144276,106
run-2026-05-23-05-04-34,2026-05-23T05:04:34Z,F12022,1,10,1,9,4986.447629144276,119
run-2026-05-23-05-04-34,2026-05-23T05:04:34Z,F12022,1,10,1,10,4986.447629144276,132
