run_id,timestamp,function_name,function_id,dimension,run_number,iteration,best_fitness_so_far,fe_estimate
run-2026-05-23-05-04-22,2026-05-23T05:04:22Z,F12022,1,10,1,1,93958.74494811063,16
run-2026-05-23-05-04-22,2026-05-23T05:04:22Z,F12022,1,10,1,2,27916.182669874153,32
run-2026-05-23-05-04-22,2026-05-23T05:04:22Z,F12022,1,10,1,3,15052.919462755144,48
run-2026-05-23-05-04-22,2026-05-23T05:04:22Z,F12022,1,10,1,4,10864.445342585726,64
run-2026-05-23-05-04-22,2026-05-23T05:04:22Z,F12022,1,10,1,5,9262.89027299875,80
run-2026-05-23-05-04-22,2026-05-23T05:04:22Z,F12022,1,10,1,6,8596.322645824055,96
run-2026-05-23-05-04-22,2026-05-23T05:04:22Z,F12022,1,10,1,7,8000.2328181839775,112
run-2026-05-23-05-04-22,2026-05-23T05:04:22Z,F12022,1,10,1,8,7819.376833555702,128
run-2026-05-23-05-04-22,2026-05-23T05:04:22Z,F12022,1,10,1,9,7802.590282299403,144
run-2026-05-23-05-04-22,2026-05-23T05:04:22Z,F12022,1,10,1,10,7802.590282299403,160
