run_id,timestamp,function_name,instance_name,run_number,iteration,best_fitness_so_far,fe_estimate
run-2026-06-14-02-30-37,2026-06-14T02:30:37Z,S01.json,S01.json,1,1,20264.209251160788,20
run-2026-06-14-02-30-37,2026-06-14T02:30:37Z,S01.json,S01.json,1,2,20264.209251160788,41
run-2026-06-14-02-30-37,2026-06-14T02:30:37Z,S01.json,S01.json,1,3,20258.904802111167,61
run-2026-06-14-02-30-37,2026-06-14T02:30:37Z,S01.json,S01.json,1,4,20258.904802111167,81
run-2026-06-14-02-30-37,2026-06-14T02:30:37Z,S01.json,S01.json,1,5,20253.924727098736,101
run-2026-06-14-02-30-37,2026-06-14T02:30:37Z,S01.json,S01.json,1,6,20250.634307699835,122
run-2026-06-14-02-30-37,2026-06-14T02:30:37Z,S01.json,S01.json,1,7,20250.634307699835,142
run-2026-06-14-02-30-37,2026-06-14T02:30:37Z,S01.json,S01.json,1,8,20250.634307699835,162
run-2026-06-14-02-30-37,2026-06-14T02:30:37Z,S01.json,S01.json,1,9,20246.639214099712,182
run-2026-06-14-02-30-37,2026-06-14T02:30:37Z,S01.json,S01.json,1,10,20246.639214099712,203
run-2026-06-14-02-30-37,2026-06-14T02:30:37Z,S01.json,S01.json,1,11,20246.639214099712,223
run-2026-06-14-02-30-37,2026-06-14T02:30:37Z,S01.json,S01.json,1,12,20246.639214099712,243
run-2026-06-14-02-30-37,2026-06-14T02:30:37Z,S01.json,S01.json,1,13,20246.639214099712,264
run-2026-06-14-02-30-37,2026-06-14T02:30:37Z,S01.json,S01.json,1,14,20246.639214099712,284
run-2026-06-14-02-30-37,2026-06-14T02:30:37Z,S01.json,S01.json,1,15,10261.25161107121,304
run-2026-06-14-02-30-37,2026-06-14T02:30:37Z,S01.json,S01.json,1,16,10249.040400021206,324
run-2026-06-14-02-30-37,2026-06-14T02:30:37Z,S01.json,S01.json,1,17,10235.519971669766,345
run-2026-06-14-02-30-37,2026-06-14T02:30:37Z,S01.json,S01.json,1,18,10235.519971669766,365
run-2026-06-14-02-30-37,2026-06-14T02:30:37Z,S01.json,S01.json,1,19,10235.519971669766,385
run-2026-06-14-02-30-37,2026-06-14T02:30:37Z,S01.json,S01.json,1,20,10235.519971669766,405
run-2026-06-14-02-30-37,2026-06-14T02:30:37Z,S01.json,S01.json,1,21,10235.519971669766,426
run-2026-06-14-02-30-37,2026-06-14T02:30:37Z,S01.json,S01.json,1,22,10235.519971669766,446
run-2026-06-14-02-30-37,2026-06-14T02:30:37Z,S01.json,S01.json,1,23,10235.519971669766,466
run-2026-06-14-02-30-37,2026-06-14T02:30:37Z,S01.json,S01.json,1,24,10235.519971669766,486
run-2026-06-14-02-30-37,2026-06-14T02:30:37Z,S01.json,S01.json,1,25,10235.519971669766,507
run-2026-06-14-02-30-37,2026-06-14T02:30:37Z,S01.json,S01.json,1,26,10235.519971669766,527
run-2026-06-14-02-30-37,2026-06-14T02:30:37Z,S01.json,S01.json,1,27,10235.519971669766,547
run-2026-06-14-02-30-37,2026-06-14T02:30:37Z,S01.json,S01.json,1,28,10235.519971669766,568
