SHOA-COMBINED FULL LOG REPORT
============================
target_fitness=0.0
iterations_logged=100
stagnation_events_logged=9

ITERATION LOG
-------------
fn=S01.json | run=1 | iter=48 | fe=1462 | best=2.27611916e+02 | stagnated=0 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=S01.json | run=1 | iter=49 | fe=1494 | best=2.27611916e+02 | stagnated=1 | event=stagnation_start | lime_triggered=1 | diag=2 | restart_attempted=1 | restart_executed=1 | restart_source=random_fallback | restart_feature=mag_predacion_mean | restart_feature_score=0.1391 | restart_count=2 | warmup_active=0
fn=S01.json | run=1 | iter=50 | fe=1524 | best=2.27611916e+02 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=S01.json | run=2 | iter=1 | fe=50 | best=1.02310289e+04 | stagnated=0 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=1
fn=S01.json | run=2 | iter=2 | fe=80 | best=1.02310289e+04 | stagnated=0 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=S01.json | run=2 | iter=3 | fe=112 | best=1.02310289e+04 | stagnated=1 | event=stagnation_start | lime_triggered=0 | diag=0 | restart_attempted=1 | restart_executed=1 | restart_source=random_fallback | restart_feature= | restart_feature_score=0.0000 | restart_count=2 | warmup_active=0
fn=S01.json | run=2 | iter=4 | fe=142 | best=1.02310289e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=S01.json | run=2 | iter=5 | fe=172 | best=1.02310289e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=S01.json | run=2 | iter=6 | fe=202 | best=1.02310289e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=S01.json | run=2 | iter=7 | fe=232 | best=1.02310289e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=S01.json | run=2 | iter=8 | fe=262 | best=1.02310289e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=S01.json | run=2 | iter=9 | fe=292 | best=1.02310289e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=S01.json | run=2 | iter=10 | fe=322 | best=1.02310289e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=S01.json | run=2 | iter=11 | fe=352 | best=1.02310289e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=S01.json | run=2 | iter=12 | fe=382 | best=1.02310289e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=S01.json | run=2 | iter=13 | fe=412 | best=1.02310289e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=S01.json | run=2 | iter=14 | fe=442 | best=1.02310289e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=S01.json | run=2 | iter=15 | fe=472 | best=1.02310289e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=S01.json | run=2 | iter=16 | fe=502 | best=1.02310289e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=S01.json | run=2 | iter=17 | fe=532 | best=1.02310289e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
fn=S01.json | run=2 | iter=18 | fe=562 | best=1.02310289e+04 | stagnated=1 | event=none | lime_triggered=0 | diag=0 | restart_attempted=0 | restart_executed=0 | restart_source=none | restart_feature= | restart_feature_score=0.0000 | restart_count=0 | warmup_active=0
